"시군구","기간","time","법정동","시군구명","date"
"서울특별시 강동구 길동",2017,2,"길동","강동구",2017-01-01
"서울특별시 강동구 둔촌동",2017,0,"둔촌동","강동구",2017-01-15
"서울특별시 강동구 명일동",2017,8,"명일동","강동구",2017-01-18
"서울특별시 강동구 성내동",2017,0,"성내동","강동구",2017-01-21
"서울특별시 강동구 암사동",2017,0,"암사동","강동구",2017-01-21
"서울특별시 강동구 성내동",2017,1,"성내동","강동구",2017-01-21
"서울특별시 강동구 강일동",2017,2,"강일동","강동구",2017-01-30
"서울특별시 강동구 성내동",2017,2,"성내동","강동구",2017-02-02
"서울특별시 강동구 성내동",2017,9,"성내동","강동구",2017-02-03
"서울특별시 강동구 천호동",2017,4,"천호동","강동구",2017-02-04
"서울특별시 강동구 둔촌동",2017,6,"둔촌동","강동구",2017-02-04
"서울특별시 강동구 명일동",2017,22,"명일동","강동구",2017-02-04
"서울특별시 강동구 강일동",2017,23,"강일동","강동구",2017-02-06
"서울특별시 강동구 둔촌동",2017,19,"둔촌동","강동구",2017-02-09
"서울특별시 강동구 길동",2017,22,"길동","강동구",2017-02-11
"서울특별시 강동구 길동",2017,22,"길동","강동구",2017-02-12
"서울특별시 강동구 고덕동",2017,0,"고덕동","강동구",2017-02-14
"서울특별시 강동구 둔촌동",2017,20,"둔촌동","강동구",2017-02-18
"서울특별시 강동구 암사동",2017,8,"암사동","강동구",2017-02-19
"서울특별시 강동구 암사동",2017,22,"암사동","강동구",2017-02-19
"서울특별시 강동구 길동",2017,22,"길동","강동구",2017-02-22
"서울특별시 강동구 성내동",2017,0,"성내동","강동구",2017-02-28
"서울특별시 강동구 성내동",2017,23,"성내동","강동구",2017-02-28
"서울특별시 강동구 상일동",2017,7,"상일동","강동구",2017-03-03
"서울특별시 강동구 천호동",2017,1,"천호동","강동구",2017-03-08
"서울특별시 강동구 둔촌동",2017,0,"둔촌동","강동구",2017-03-10
"서울특별시 강동구 고덕동",2017,23,"고덕동","강동구",2017-03-10
"서울특별시 강동구 천호동",2017,0,"천호동","강동구",2017-03-15
"서울특별시 강동구 성내동",2017,4,"성내동","강동구",2017-03-16
"서울특별시 강동구 길동",2017,3,"길동","강동구",2017-03-21
"서울특별시 강동구 길동",2017,1,"길동","강동구",2017-03-23
"서울특별시 강동구 성내동",2017,20,"성내동","강동구",2017-03-24
